iter	Passed	Remaining
0	1	190
1	3	166
2	4	154
3	5	143
4	7	141
5	8	139
6	10	138
7	12	140
8	13	140
9	15	138
10	16	135
11	18	133
12	19	131
13	21	129
14	22	128
15	23	125
16	25	124
17	26	122
18	28	120
19	29	118
20	30	116
21	32	113
22	33	110
23	34	107
24	35	105
25	36	103
26	37	102
27	39	102
28	41	101
29	43	102
30	45	101
31	46	99
32	47	97
33	48	95
34	50	93
35	51	91
36	53	90
37	54	89
38	55	87
39	57	86
40	59	85
41	59	82
42	60	80
43	61	78
44	62	76
45	63	74
46	64	72
47	65	71
48	66	69
49	67	67
50	69	67
51	71	65
52	72	64
53	73	62
54	74	61
55	75	59
56	77	58
57	78	56
58	79	55
59	81	54
60	84	53
61	86	52
62	87	51
63	90	50
64	91	49
65	92	47
66	93	46
67	95	44
68	97	43
69	99	42
70	100	41
71	102	39
72	104	38
73	105	37
74	106	35
75	107	34
76	108	32
77	109	30
78	110	29
79	113	28
80	114	26
81	116	25
82	117	24
83	118	22
84	119	21
85	121	19
86	122	18
87	123	16
88	124	15
89	127	14
90	129	12
91	131	11
92	132	10
93	134	8
94	135	7
95	136	5
96	137	4
97	139	2
98	141	1
99	143	0
